Generation,GenerationBestReward,AverageReward
0,0.0000,-2.6606
1,-0.0097,-0.1615
2,-0.0097,-0.7604
3,-0.0097,-0.5924
4,-0.0097,-1.1693
5,-0.0097,-0.5654
6,-0.0097,-0.4176
7,-0.0097,-0.2772
8,-0.0097,-0.3150
9,-0.0097,-0.4058
10,-0.0097,-0.2883
11,-0.0097,-0.3227
12,-0.0097,-0.2519
13,-0.0097,-0.6267
14,-0.0097,-0.8150
15,-0.0097,-0.5219
16,-0.0097,-0.6573
17,-0.0097,-0.7534
18,-0.0097,-0.6195
19,-0.0097,-0.9163
20,-0.0097,-0.5253
21,-0.0097,-0.7602
22,-0.0097,-0.5258
23,-0.0097,-0.6191
24,-0.0097,-0.4829
25,-0.0097,-0.4896
26,-0.0097,-0.7596
27,-0.0097,-0.7620
28,-0.0097,-0.5835
29,-0.0097,-0.6186
30,-0.0097,-0.5752
31,-0.0097,-0.4858
