Generation,GenerationBestReward,AverageReward
0,0.0000,-42.6846
1,-0.0055,-8.0272
2,-0.0048,-10.2729
3,-0.0048,-25.0613
4,-0.0045,-29.5925
5,-0.0047,-39.2536
6,-0.0044,-28.4760
7,-0.0044,-43.7987
8,-0.0052,-41.5262
9,-0.0044,-32.4364
10,-0.0017,-15.9557
11,-0.0017,-2.3136
12,-0.0015,-1.1802
13,605.1922,4.8674
14,613.9478,16.7597
15,977.0497,39.8220
16,1013.3030,128.3427
17,1248.4170,398.7470
18,1424.4390,491.6620
19,1598.3340,538.3322
20,1825.7380,651.7682
21,1987.7710,611.6963
22,2084.1530,518.5131
23,2161.9030,672.0211
24,2162.2570,819.5672
25,2198.0920,495.4329
26,2198.7810,536.9701
27,2198.7720,558.2498
28,2205.1440,565.1271
29,2205.1920,562.0817
30,2205.1460,542.1434
31,2224.7700,582.3956
32,2224.7700,437.6301
33,2225.1280,419.7663
34,2217.9120,422.3110
35,2219.4820,575.3027
36,2225.4640,464.4146
37,2226.0040,555.2297
38,2225.4640,480.1342
39,2235.7300,496.4136
40,2243.1930,569.4672
41,2235.7300,481.3557
42,2235.3320,447.9965
43,2235.7300,353.4022
44,2236.4580,421.7217
45,2235.3320,374.5177
46,2235.7300,553.4115
47,2238.0200,645.3553
48,2235.7300,395.9380
49,2235.7290,481.1539
50,2235.3320,358.5716
51,2236.8830,566.1446
52,2236.4580,450.4111
53,2235.7300,360.1915
54,2235.3320,450.4620
55,2236.5780,541.5754
56,2235.7300,454.6527
57,2252.7310,443.6148
58,2254.4730,378.4703
59,2252.7360,463.3958
60,2254.4730,403.6540
61,2252.7360,405.6706
62,2252.7360,287.2058
63,2252.7360,464.0515
64,2254.9580,313.8854
65,2254.4730,347.5523
66,2254.4730,384.3780
67,2254.4780,399.1215
68,2252.7360,370.6638
69,2252.7360,318.8694
70,2252.7360,376.4861
71,2252.7360,486.9773
72,2252.7360,452.4544
73,2257.1220,437.6458
74,2257.1220,356.4970
75,2257.4990,358.9223
76,2257.1220,372.0902
77,2257.1220,363.5727
78,2252.7360,372.1763
79,2252.7880,422.3228
80,2257.1220,370.2623
81,2257.1220,379.7166
82,2257.1220,512.3523
83,2257.4990,579.3780
84,2254.9640,319.9192
85,2257.1220,312.1046
86,2254.9640,400.5922
87,2257.1220,431.8037
88,2257.1220,373.1008
89,2257.1220,439.5611
90,2257.6880,441.7909
91,2257.8420,450.7373
92,2257.8420,465.6315
93,2257.8420,357.5229
94,2257.8420,287.2057
95,2257.8420,410.1198
96,2261.1110,277.7228
97,2257.8420,286.5614
98,2257.8420,514.8121
99,2257.8420,379.3749
100,2258.5370,353.9355
101,2272.1010,781.3787
102,2278.5350,621.4690
103,2274.5520,481.8553
104,2274.5520,499.6100
105,2278.4800,563.8363
106,2280.8670,405.2588
107,2280.8670,451.8792
108,2280.8670,343.4348
109,2278.4800,595.6213
110,2278.8400,511.8060
111,2278.9510,550.6718
112,2281.7560,511.3687
113,2279.8310,532.1496
114,2279.8310,667.1689
115,2286.6780,597.0135
116,2289.5330,495.9621
117,2289.3620,631.5825
118,2289.3620,653.2783
119,2289.3620,444.6689
120,2289.6500,522.4667
121,2289.3620,683.4956
122,2290.2800,570.3972
123,2290.2800,557.2699
124,2290.2800,632.9932
125,2290.2800,830.5754
126,2290.2800,739.8915
127,2290.2800,360.6696
128,2290.2800,667.9548
129,2290.4860,591.8059
130,2290.4860,614.4723
131,2291.3180,422.9739
132,2291.4960,387.9421
133,2292.5570,549.4628
134,2291.4530,365.2730
135,2291.6250,742.1069
136,2291.2920,704.1375
137,2291.1030,465.8309
138,2291.2880,424.3802
139,2295.8110,620.9824
140,2291.1030,588.2141
141,2291.2880,464.1939
142,2291.2880,602.8268
143,2291.1030,513.0543
144,2294.3720,450.7769
145,2292.4090,502.5152
146,2293.2980,627.5845
147,2292.4090,599.7205
148,2294.8390,545.6210
149,2292.7570,643.9523
